genero,user_id,año,horas_jugadas
action,Sp3ctre,2010,249
action,Sp3ctre,2004,122426
action,Sp3ctre,2006,89357
action,Sp3ctre,2003,7673
action,Sp3ctre,2005,21339
action,Sp3ctre,2004,4561
action,Sp3ctre,2006,73
action,Sp3ctre,2007,127
action,Sp3ctre,2007,109103
action,Sp3ctre,1999,44
action,Sp3ctre,1999,0
action,Sp3ctre,1998,0
action,Sp3ctre,2001,13
action,Sp3ctre,2004,287
action,Sp3ctre,2004,0
action,Sp3ctre,2004,11
action,Sp3ctre,2005,0
action,Sp3ctre,2006,0
action,Sp3ctre,2006,1
action,Sp3ctre,2007,0
action,Sp3ctre,2008,8309
action,Sp3ctre,2009,445
action,Sp3ctre,2009,4405
action,Sp3ctre,2009,63175
action,Sp3ctre,2009,0
action,Sp3ctre,2009,5585
action,Sp3ctre,2009,34108
action,Sp3ctre,2007,10
action,Sp3ctre,2008,0
action,Sp3ctre,2008,204
action,Sp3ctre,2009,0
action,Sp3ctre,2008,20
action,Sp3ctre,2007,3109
action,Sp3ctre,2016,0
action,Sp3ctre,2010,161
action,Sp3ctre,2010,8668
action,Sp3ctre,2010,1486
action,Sp3ctre,2010,0
action,Sp3ctre,2010,16160
action,Sp3ctre,2010,39827
action,Sp3ctre,2010,8357
action,Sp3ctre,2010,0
action,Sp3ctre,2010,120
action,Sp3ctre,2011,121
action,Sp3ctre,2007,140
action,Sp3ctre,2011,151
action,Sp3ctre,2011,17
action,Sp3ctre,2011,1007
action,Sp3ctre,2011,412
action,Sp3ctre,2011,215
action,Sp3ctre,2011,149
action,Sp3ctre,2011,73519
action,Sp3ctre,2016,1866
action,Sp3ctre,2011,202
action,Sp3ctre,2011,0
action,Sp3ctre,2011,98
action,Sp3ctre,2011,3321
action,Sp3ctre,2011,2572
action,Sp3ctre,2011,184
action,Sp3ctre,2011,71
action,Sp3ctre,2011,1172
action,Sp3ctre,2006,217
action,Sp3ctre,2006,0
action,Sp3ctre,2011,188
action,Sp3ctre,2012,158
action,Sp3ctre,2011,10501
action,Sp3ctre,2012,6739
action,Sp3ctre,2012,85
action,Sp3ctre,2012,307
action,Sp3ctre,2009,721
action,Sp3ctre,2001,0
action,Sp3ctre,2003,0
action,Sp3ctre,2011,0
action,Sp3ctre,2012,1738
action,Sp3ctre,2222,1657
action,Sp3ctre,2000,70644
action,Sp3ctre,2004,126
action,Sp3ctre,2012,260875
action,Sp3ctre,2012,434
action,Sp3ctre,2012,1226
action,Sp3ctre,2012,85
action,Sp3ctre,2012,5789
action,Sp3ctre,2012,2548
action,Sp3ctre,2012,121
action,Sp3ctre,2009,332
action,Sp3ctre,2012,405
action,Sp3ctre,2012,85
action,Sp3ctre,2012,1514
action,Sp3ctre,2012,388
action,Sp3ctre,2012,91
action,Sp3ctre,2012,5784
action,Sp3ctre,2012,31669
action,Sp3ctre,2012,3239
action,Sp3ctre,2008,0
action,Sp3ctre,2010,4402
action,Sp3ctre,2012,654
action,Sp3ctre,2013,205
action,Sp3ctre,2012,1
action,Sp3ctre,2013,155
action,Sp3ctre,2011,61139
action,Sp3ctre,2012,20
action,Sp3ctre,2012,53285
action,Sp3ctre,2015,1
action,Sp3ctre,2014,130
action,Sp3ctre,2013,0
action,Sp3ctre,2012,0
action,Sp3ctre,2010,1
action,Sp3ctre,2012,2617
action,Sp3ctre,2013,34407
action,Sp3ctre,2014,0
action,Sp3ctre,2013,0
action,Sp3ctre,2012,1193
action,Sp3ctre,2006,27
action,Sp3ctre,2014,45
action,Sp3ctre,2014,36
action,Sp3ctre,2012,10
action,Sp3ctre,2012,2607
action,Sp3ctre,2012,0
action,Sp3ctre,2014,0
action,Sp3ctre,2013,17463
action,Sp3ctre,2013,6453
action,Sp3ctre,2013,176
action,Sp3ctre,2013,3158
action,Sp3ctre,2013,169
action,Sp3ctre,2016,600
action,Sp3ctre,2013,769
action,Sp3ctre,2013,0
action,Sp3ctre,2013,754
action,Sp3ctre,2014,1574
action,Sp3ctre,2013,0
action,Sp3ctre,2013,196
action,Sp3ctre,2013,4
action,Sp3ctre,2015,1282
action,Sp3ctre,2012,184
action,Sp3ctre,2006,0
action,Sp3ctre,2010,3031
action,Sp3ctre,2013,61
action,Sp3ctre,2013,0
action,Sp3ctre,2013,0
action,Sp3ctre,2013,144
action,Sp3ctre,2013,333
action,Sp3ctre,2013,965
action,Sp3ctre,2013,1548
action,Sp3ctre,2013,204
action,Sp3ctre,2013,413
action,Sp3ctre,2013,52664
action,Sp3ctre,2015,56049
action,Sp3ctre,2013,0
action,Sp3ctre,2003,71
action,Sp3ctre,2013,752
action,Sp3ctre,2014,200
action,Sp3ctre,2013,154
action,Sp3ctre,2014,7146
action,Sp3ctre,2014,669
action,Sp3ctre,2016,25175
action,Sp3ctre,2010,0
action,Sp3ctre,2001,237
action,Sp3ctre,2014,62
action,Sp3ctre,2014,72
action,Sp3ctre,2014,588
action,Sp3ctre,2014,243
action,Sp3ctre,2014,36
action,Sp3ctre,2015,909
action,Sp3ctre,2014,38824
action,Sp3ctre,2014,0
action,Sp3ctre,2014,231
action,Sp3ctre,2010,293
action,Sp3ctre,2010,4
action,Sp3ctre,2000,0
action,Sp3ctre,2003,0
action,Sp3ctre,2004,0
action,Sp3ctre,2002,238
action,Sp3ctre,2005,0
action,Sp3ctre,1993,0
action,Sp3ctre,2014,569
action,Sp3ctre,2014,0
action,Sp3ctre,2014,0
action,Sp3ctre,2015,622
action,Sp3ctre,1996,0
action,Sp3ctre,2014,561
action,Sp3ctre,2014,0
action,Sp3ctre,2014,0
action,Sp3ctre,2014,0
action,Sp3ctre,2014,41110
action,Sp3ctre,2015,0
action,Sp3ctre,2014,302
action,Sp3ctre,2014,0
action,Sp3ctre,2014,178
action,Sp3ctre,2014,609
action,Sp3ctre,2014,540
action,Sp3ctre,2014,239
action,Sp3ctre,2014,1718
action,Sp3ctre,2014,850
action,Sp3ctre,2014,0
action,Sp3ctre,2017,145
action,Sp3ctre,2011,0
action,Sp3ctre,2014,179
action,Sp3ctre,2015,348
action,Sp3ctre,2017,21208
action,Sp3ctre,2013,158
action,Sp3ctre,1995,217
action,Sp3ctre,2012,297
action,Sp3ctre,2006,578
action,Sp3ctre,2014,0
action,Sp3ctre,2016,0
action,Sp3ctre,2014,23
action,Sp3ctre,2014,4
action,Sp3ctre,2014,16331
action,Sp3ctre,2015,0
action,Sp3ctre,2016,63
action,Sp3ctre,2014,177
action,Sp3ctre,2005,0
action,Sp3ctre,2015,106
action,Sp3ctre,2007,241
action,Sp3ctre,2013,853
action,Sp3ctre,2006,0
action,Sp3ctre,2007,64
action,Sp3ctre,2008,0
action,Sp3ctre,2010,0
action,Sp3ctre,2012,0
action,Sp3ctre,2012,0
action,Sp3ctre,2012,0
action,Sp3ctre,2012,18
action,Sp3ctre,2012,0
action,Sp3ctre,2012,72
action,Sp3ctre,2002,0
action,Sp3ctre,2006,0
action,Sp3ctre,2000,0
action,Sp3ctre,2004,0
action,Sp3ctre,2016,0
action,Sp3ctre,2014,0
action,Sp3ctre,2014,204
action,Sp3ctre,2014,0
action,Sp3ctre,2014,370
action,Sp3ctre,2014,47
action,Sp3ctre,2015,287
action,Sp3ctre,2015,198
action,Sp3ctre,2014,158
action,Sp3ctre,2010,7
action,Sp3ctre,2015,1062
action,Sp3ctre,2012,0
action,Sp3ctre,2014,619
action,Sp3ctre,2014,16982
action,Sp3ctre,2014,593
action,Sp3ctre,2013,0
action,Sp3ctre,2005,0
action,Sp3ctre,2015,99934
action,Sp3ctre,2017,20709
action,Sp3ctre,2017,66
action,Sp3ctre,2011,311
action,Sp3ctre,2017,0
action,Sp3ctre,2015,1
action,Sp3ctre,2015,0
action,Sp3ctre,2015,322
action,Sp3ctre,2015,6
action,Sp3ctre,2015,0
action,Sp3ctre,2015,363
action,Sp3ctre,2015,0
action,Sp3ctre,2015,158
action,Sp3ctre,2015,80596
action,Sp3ctre,2015,720
action,Sp3ctre,2015,76249
action,Sp3ctre,2015,158
action,Sp3ctre,2015,337
action,Sp3ctre,2015,0
action,Sp3ctre,2015,0
action,Sp3ctre,2015,0
action,Sp3ctre,2015,657
action,Sp3ctre,2015,0
action,Sp3ctre,2014,39
action,Sp3ctre,2015,266
action,Sp3ctre,2015,24
action,Sp3ctre,2015,0
action,Sp3ctre,2016,568
action,Sp3ctre,2015,0
action,Sp3ctre,2015,0
action,Sp3ctre,2015,11
action,Sp3ctre,2015,709
action,Sp3ctre,2015,118
action,Sp3ctre,2017,245
action,Sp3ctre,2015,38
action,Sp3ctre,2015,158
action,Sp3ctre,2015,2
action,Sp3ctre,2015,576
action,Sp3ctre,2016,39
action,Sp3ctre,2016,0
action,Sp3ctre,2015,2113
action,Sp3ctre,2015,0
action,Sp3ctre,2015,261
action,Sp3ctre,2017,954
action,Sp3ctre,2010,0
action,Sp3ctre,2014,0
action,Sp3ctre,1997,242
action,Sp3ctre,2015,27
action,Sp3ctre,2015,23
action,Sp3ctre,2015,0
action,Sp3ctre,2015,10
action,Sp3ctre,2016,0
action,Sp3ctre,2015,393
action,Sp3ctre,2015,393
action,Sp3ctre,2017,0
action,Sp3ctre,2015,447
action,Sp3ctre,2016,329
action,Sp3ctre,2015,63380
action,Sp3ctre,2016,10
action,Sp3ctre,2016,0
action,Sp3ctre,2014,606
action,Sp3ctre,2016,597
action,Sp3ctre,2016,3
action,Sp3ctre,2010,0
action,Sp3ctre,2012,0
action,Sp3ctre,2012,0
action,Sp3ctre,2006,0
action,Sp3ctre,2012,0
action,Sp3ctre,2011,0
action,Sp3ctre,2012,0
action,Sp3ctre,2016,0
action,Sp3ctre,2016,0
action,Sp3ctre,2016,361
action,Sp3ctre,2016,278
action,Sp3ctre,2016,0
action,Sp3ctre,2016,287
action,Sp3ctre,2011,98
action,Sp3ctre,2016,0
action,Sp3ctre,2016,0
action,Sp3ctre,2016,0
action,Sp3ctre,2016,0
action,Sp3ctre,2011,11
action,Sp3ctre,2016,19
action,Sp3ctre,2015,0
action,Sp3ctre,2016,0
action,Sp3ctre,2016,0
action,Sp3ctre,2017,0
casual,REBAS_AS_F-T,2007,0
casual,REBAS_AS_F-T,2006,36
casual,REBAS_AS_F-T,1999,0
casual,REBAS_AS_F-T,2008,1
casual,REBAS_AS_F-T,2008,125
casual,REBAS_AS_F-T,2009,724
casual,REBAS_AS_F-T,2009,4
casual,REBAS_AS_F-T,2009,0
casual,REBAS_AS_F-T,2009,1963
casual,REBAS_AS_F-T,2010,54
casual,REBAS_AS_F-T,2010,1694
casual,REBAS_AS_F-T,2010,1118
casual,REBAS_AS_F-T,2010,2621
casual,REBAS_AS_F-T,2010,1294
casual,REBAS_AS_F-T,2010,990
casual,REBAS_AS_F-T,2011,90
casual,REBAS_AS_F-T,2011,17
casual,REBAS_AS_F-T,2011,881
casual,REBAS_AS_F-T,2011,2543
casual,REBAS_AS_F-T,2011,457
casual,REBAS_AS_F-T,2011,1956
casual,REBAS_AS_F-T,2011,1659
casual,REBAS_AS_F-T,2016,2601
casual,REBAS_AS_F-T,2011,15
casual,REBAS_AS_F-T,2009,2938
casual,REBAS_AS_F-T,2011,7174
casual,REBAS_AS_F-T,2012,1097
casual,REBAS_AS_F-T,2012,239
casual,REBAS_AS_F-T,2012,820
casual,REBAS_AS_F-T,2012,0
casual,REBAS_AS_F-T,2011,1096
casual,REBAS_AS_F-T,2012,0
casual,REBAS_AS_F-T,2013,657
casual,REBAS_AS_F-T,2012,7161
casual,REBAS_AS_F-T,2012,1800
casual,REBAS_AS_F-T,2012,9268
casual,REBAS_AS_F-T,2012,683
casual,REBAS_AS_F-T,2012,3
casual,REBAS_AS_F-T,2013,3262
casual,REBAS_AS_F-T,2013,1025
casual,REBAS_AS_F-T,2009,31
casual,REBAS_AS_F-T,2008,0
casual,REBAS_AS_F-T,2013,0
casual,REBAS_AS_F-T,2011,31
casual,REBAS_AS_F-T,2011,7
casual,REBAS_AS_F-T,2011,0
casual,REBAS_AS_F-T,2012,0
casual,REBAS_AS_F-T,2014,0
casual,REBAS_AS_F-T,2013,0
casual,REBAS_AS_F-T,2012,0
casual,REBAS_AS_F-T,2013,0
casual,REBAS_AS_F-T,2013,1
casual,REBAS_AS_F-T,2007,0
casual,REBAS_AS_F-T,2016,0
casual,REBAS_AS_F-T,2013,0
casual,REBAS_AS_F-T,2013,0
casual,REBAS_AS_F-T,2014,16
casual,REBAS_AS_F-T,2014,0
casual,REBAS_AS_F-T,2014,0
casual,REBAS_AS_F-T,2014,0
casual,REBAS_AS_F-T,2007,1070
casual,REBAS_AS_F-T,2013,3071
casual,REBAS_AS_F-T,2013,8256
casual,REBAS_AS_F-T,2013,1285
casual,REBAS_AS_F-T,2013,1999
casual,REBAS_AS_F-T,2013,3116
casual,REBAS_AS_F-T,2013,823
